record_id	secret_class	source_ref	target_ref	owner_ref	rotation_ref	rollback_ref	evidence_ref	status	notes
ce-dev-1-pat	runtime_secret	source-ref:legacy-host/.ce-keys/ce-dev-1.pat	openbao-ref:ce-kv/devs/dev-1/runtime/github-pat	owner-ref:dev-1	rotation-ref:github-pat-rotation/dev-1	rollback-ref:legacy-host/.ce-keys/ce-dev-1.pat	evidence-ref:ce-ops-113/migration-map	planned	template row only; name ce-dev-1.pat; policy ce-dev-1-runtime-read; do not add PAT bytes or live values
ce-dev-2-pat	runtime_secret	source-ref:legacy-host/.ce-keys/ce-dev-2.pat	openbao-ref:ce-kv/devs/dev-2/runtime/github-pat	owner-ref:dev-2	rotation-ref:github-pat-rotation/dev-2	rollback-ref:legacy-host/.ce-keys/ce-dev-2.pat	evidence-ref:ce-ops-113/migration-map	planned	template row only; name ce-dev-2.pat; policy ce-dev-2-runtime-read; do not add PAT bytes or live values
ce-dev-3-pat	runtime_secret	source-ref:legacy-host/.ce-keys/ce-dev-3.pat	openbao-ref:ce-kv/devs/dev-3/runtime/github-pat	owner-ref:dev-3	rotation-ref:github-pat-rotation/dev-3	rollback-ref:legacy-host/.ce-keys/ce-dev-3.pat	evidence-ref:ce-ops-113/migration-map	planned	template row only; name ce-dev-3.pat; policy ce-dev-3-runtime-read; do not add PAT bytes or live values
ce-dev-4-pat	runtime_secret	source-ref:legacy-host/.ce-keys/ce-dev-4.pat	openbao-ref:ce-kv/devs/dev-4/runtime/github-pat	owner-ref:dev-4	rotation-ref:github-pat-rotation/dev-4	rollback-ref:legacy-host/.ce-keys/ce-dev-4.pat	evidence-ref:ce-ops-113/migration-map	planned	template row only; name ce-dev-4.pat; policy ce-dev-4-runtime-read; do not add PAT bytes or live values
claude-code-oauth-token	runtime_secret	source-ref:legacy-host/env-forwarding/CLAUDE_CODE_OAUTH_TOKEN	openbao-ref:ce-kv/devs/controller/runtime/claude-code-oauth-token	owner-ref:controller-runtime	rotation-ref:claude-code-oauth-rotation/controller	rollback-ref:legacy-host/env-forwarding/CLAUDE_CODE_OAUTH_TOKEN	evidence-ref:ce-ops-113/migration-map	planned	template row only; name CLAUDE_CODE_OAUTH_TOKEN; policy ce-controller-runtime-read; broker delivers by env name only
creator-engine-shared-app-pem	github_app_pem	source-ref:legacy-host/.ce-keys/ce-forge-app.pem	openbao-ref:ce-kv/forge/github-apps/creator-engine-shared/private-key	owner-ref:forge-platform	rotation-ref:github-app-key-rotation/creator-engine-shared	rollback-ref:legacy-host/.ce-keys/ce-forge-app.pem	evidence-ref:ce-ops-113/migration-map	planned	template row only; name ce-forge-app.pem; policy ce-forge-app-jwt-sign; do not add PEM bytes or live values
ce-forge-app-config	other	source-ref:legacy-host/.ce-keys/ce-forge-app.json	openbao-ref:ce-kv/forge/github-apps/creator-engine-shared/config	owner-ref:forge-platform	rotation-ref:github-app-config-rotation/creator-engine-shared	rollback-ref:legacy-host/.ce-keys/ce-forge-app.json	evidence-ref:ce-ops-113/migration-map	planned	template row only; name ce-forge-app.json; policy ce-forge-app-config-read; config refs only
ce-forge-devn-app-config	other	source-ref:legacy-host/.ce-keys/ce-forge-devN.json	openbao-ref:ce-kv/forge/github-apps/devs/config	owner-ref:forge-platform	rotation-ref:github-app-config-rotation/devs	rollback-ref:legacy-host/.ce-keys/ce-forge-devN.json	evidence-ref:ce-ops-113/migration-map	planned	template row only; name family ce-forge-devN.json; policy ce-forge-app-config-read; expand outside repo per live host
agent-reviewer-app-config	other	source-ref:legacy-host/.ce-keys/agent-reviewer-app.json	openbao-ref:ce-kv/forge/github-apps/reviewer/config	owner-ref:forge-reviewers	rotation-ref:github-app-config-rotation/reviewer	rollback-ref:legacy-host/.ce-keys/agent-reviewer-app.json	evidence-ref:ce-ops-113/migration-map	planned	template row only; name agent-reviewer-app.json; policy ce-reviewer-app-config-read; config refs only
reviewer-app-pem	github_app_pem	source-ref:legacy-host/.ce-keys/agent-reviewer-app.pem	openbao-ref:ce-kv/forge/github-apps/reviewer/private-key	owner-ref:forge-reviewers	rotation-ref:github-app-key-rotation/reviewer	rollback-ref:legacy-host/.ce-keys/agent-reviewer-app.pem	evidence-ref:ce-ops-113/migration-map	planned	template row only; name agent-reviewer-app.pem; policy ce-reviewer-app-jwt-sign; do not add PEM bytes or live values
ce-root-v1	signing_key	source-ref:legacy-host/.ce-keys/ce-root-v1	openbao-ref:ce-transit/governance/signing/ce-root-v1	owner-ref:operator-trust-root	rotation-ref:governance-signing-root-rotation/ce-root-v1	rollback-ref:legacy-offline/.ce-keys/ce-root-v1	evidence-ref:ce-ops-113/migration-map	planned	template row only; name ce-root-v1; policy ce-root-v1-signing-request; import remains blocked until separate Operator ratification
model-provider-primary	model_provider_key	source-ref:operator-custody/model-provider-primary	openbao-ref:ce-kv/forge/model-providers/primary/api-key	owner-ref:forge-platform	rotation-ref:model-provider-rotation/primary	rollback-ref:legacy-custody/model-provider-primary	evidence-ref:ce-ops-113/migration-map	planned	template row only; existing non-ce-keys family preserved; do not add provider key bytes or live values
reviewer-bootstrap	reviewer_token	source-ref:operator-custody/reviewer-bootstrap	openbao-ref:ce-kv/forge/reviewers/bootstrap/token	owner-ref:forge-reviewers	rotation-ref:reviewer-token-rotation/bootstrap	rollback-ref:legacy-custody/reviewer-bootstrap	evidence-ref:ce-ops-113/migration-map	planned	template row only; existing non-ce-keys family preserved; do not add reviewer token bytes or live values
